noise_ratio,accuracy
0,0.916
0.005,0.926
0.01,0.91
0.015,0.915
0.02,0.918
0.025,0.912
0.03,0.897
0.035,0.906
0.04,0.916
0.045,0.914
0.05,0.907
0.055,0.905
0.06,0.91
0.065,0.911
0.07,0.913
0.075,0.919
0.08,0.906
0.085,0.903
0.09,0.912
0.095,0.924
0.1,0.923
0.105,0.907
0.11,0.895
0.115,0.928
0.12,0.911
0.125,0.913
0.13,0.91
0.135,0.907
0.14,0.912
0.145,0.906
0.15,0.931
0.155,0.927
0.16,0.914
0.165,0.892
0.17,0.909
0.175,0.909
0.18,0.911
0.185,0.921
0.19,0.906
0.195,0.914
0.2,0.902
0.205,0.907
0.21,0.918
0.215,0.923
0.22,0.892
0.225,0.902
0.23,0.914
0.235,0.896
0.24,0.903
0.245,0.904
0.25,0.887
